dataset,mean_acc,std_acc,resolution,layout,epochs,batch_size,lr,time_sec
MUTAG,97.34,3.55,64,spring,200,32,0.001,178.1
PTC_MR,74.99,3.31,64,spring,200,32,0.001,339.4
PROTEINS,78.34,2.72,64,spring,200,32,0.001,1041.1
BZR,90.12,2.20,64,spring,200,32,0.001,438.0
NCI1,83.28,1.74,64,spring,200,32,0.001,3321.
MUTAG (GCN),97.34,3.55,64,spring,200,32,0.001,194.8
MUTAG (GS),92.60,7.13,64,spring,200,32,0.001,206.3
PTC_MR (GCN),74.99,3.31,64,spring,200,32,0.001,373.9
PTC_MR (GS),72.40,3.06,64,spring,200,32,0.001,426.0
BZR (GCN),90.12,2.20,64,spring,200,32,0.001,455.5
BZR (GS),89.62,1.91,64,spring,200,32,0.001,474.8
PROTEINS (GCN),78.34,2.72,64,spring,200,32,0.001,1167.9
PROTEINS (GS),76.99,3.13,64,spring,200,32,0.001,1226.1
